candidate_id,yoe,career_years_from_history,days_since_active,days_since_signup,notice_period_days,profile_completeness,response_rate,interview_completion,offer_acceptance,offer_acceptance_missing,github_activity,github_activity_missing,connection_count,endorsements_received,views_received_30d,applications_30d,search_appearance_30d,saved_by_recruiters_30d,open_to_work,verified_email,verified_phone,linkedin_connected,willing_to_relocate,advanced_skill_count,expert_skill_count,weighted_skill_score,service_company_ratio,skills_count,career_count,title_career_match_ratio,days_active,profile_views,saved_by_recruiters,search_appearance,product_company_ratio,location,country,profile_similarity,skills_similarity,career_similarity,full_similarity,intent1_similarity,intent2_similarity,intent3_similarity,intent4_similarity,intent5_similarity,semantic_alignment_score,intent_weighted_full_similarity,skill_overlap,weighted_skill_overlap,assessment_score,skill_coverage_ratio,has_search_experience,search_experience_count,career_evidence_score,build_ownership_count,activity_recency_score,response_speed_score,notice_score,notice_period_days_clean,location_match,work_mode_match,profile_consistency_score,quality_score,consistency_score,honeypot_penalty,yoe_alignment_score,domain_alignment_score,skill_evidence_score,retrieval_score,final_score
CAND_0039754,16.2,8.17,37,259,30,67.1,0.81,0.98,0.55,0,77.5,0,1009,46,279,3,541,51,1,1,1,1,1,15,11,197.42121543529873,0.0,20,3,0.6666666666666666,37,279,51,541,1.0,"indore, madhya pradesh",india,0.5658893,0.3902448,0.48191172,0.5813919,0.58020663,0.6346828,0.6664042,0.4342781,0.59138775,0.5048594,0.590294,8,106.88233906599709,79.5,0.26666666666666666,1,11,1.0,4,0.6629132704784655,0.585831998656081,0.6666666666666667,30,1,1,0.6602777777777777,0.7283078457901251,0.7365123456790124,0.0,0.504320987654321,0.7,1.0,0.9999999999999999,0.8583669976820792
CAND_0077337,7.0,6.92,25,634,60,64.6,0.95,0.73,0.77,0,68.0,0,1073,27,106,9,240,32,1,1,1,1,1,15,11,197.85076345696206,0.0,20,4,0.25,25,106,32,240,1.0,"kochi, kerala",india,0.57456756,0.3514362,0.5185938,0.58287585,0.5664686,0.6485548,0.6618897,0.45385805,0.5836081,0.50686836,0.5908967,8,110.17505115905524,63.2,0.26666666666666666,1,7,1.0,6,0.7574651283969664,0.6969015606581122,0.33333333333333337,60,1,0,0.7323571428571429,0.7041545347603761,0.906,0.0,0.9885714285714285,0.7,1.0,0.9983991529119285,0.8289466448848303
CAND_0055992,16.9,6.67,84,464,60,61.1,0.72,0.91,0.74,0,65.3,0,1183,28,283,5,451,57,1,1,1,1,1,12,7,156.51462907011881,0.0,16,4,0.5,84,283,57,451,1.0,sydney,australia,0.5840378,0.39140263,0.44079453,0.5921723,0.54236215,0.66925675,0.7035942,0.47518477,0.570464,0.50210184,0.59906584,6,82.81057610385652,65.85,0.2,1,11,1.0,7,0.39324072086859824,0.5007408051975173,0.33333333333333337,60,1,1,0.552603550295858,0.6664800996310427,0.6381360946745562,0.0,0.39467455621301784,0.5,1.0,0.9999999999999999,0.8273641300478357
CAND_0008425,7.8,7.67,56,585,90,57.2,0.66,0.77,0.41,0,53.3,0,1421,97,260,10,1136,55,1,1,1,1,0,16,11,191.9327260822424,0.0,17,3,0.3333333333333333,56,260,55,1136,1.0,"kolkata, west bengal",india,0.5796529,0.29846066,0.52375346,0.58526266,0.5800797,0.6840769,0.6279212,0.49148467,0.54275066,0.49678242,0.5986252,9,111.0318970764987,77.8,0.3,1,9,1.0,4,0.536750332785653,0.8607079764250578,0.0,90,0,0,0.7591666666666668,0.7083170975599538,0.9041666666666667,0.0,0.9833333333333334,0.7,1.0,0.9758815596820266,0.826195070502078
CAND_0088025,8.6,8.5,37,207,90,60.3,0.83,0.95,0.82,0,74.6,0,1606,18,201,17,1398,19,1,1,1,1,0,16,11,199.39733619217543,0.0,19,3,0.6666666666666666,37,201,19,1398,1.0,"jaipur, rajasthan",india,0.56180847,0.36770242,0.5374052,0.57098633,0.5519988,0.59539306,0.63949984,0.47883743,0.5892024,0.5094756,0.5730938,7,100.37812488146005,90.35,0.23333333333333334,1,7,1.0,3,0.6629132704784655,0.7155368189770223,0.0,90,0,1,0.8781007751937986,0.7234564935536443,0.9059302325581396,0.0,0.9883720930232559,0.7,1.0,0.9999999999999999,0.8097318221775945
CAND_0046525,6.1,6.08,28,149,60,62.8,0.88,0.81,0.48,0,36.7,0,1801,239,108,7,663,38,1,1,1,1,1,14,4,133.9905385075879,0.0,17,2,1.0,28,108,38,663,1.0,"pune, maharashtra",india,0.5586573,0.36041278,0.5549408,0.57794863,0.57821584,0.65069586,0.6598273,0.42309105,0.57791305,0.5129899,0.5893591,7,56.216814272332236,71.75,0.23333333333333334,1,4,1.0,3,0.7326324677392158,0.8464817248906141,0.33333333333333337,60,1,1,0.9985245901639344,0.7689053994816566,0.9088524590163934,0.0,0.9967213114754099,0.7,1.0,0.9999999999999999,0.7983702721185542
CAND_0081846,6.7,6.58,48,681,30,95.7,0.73,0.94,0.5,1,33.7,0,494,166,231,16,347,62,1,1,1,1,1,18,10,200.1885449236061,0.0,18,2,0.5,48,231,62,347,1.0,"jaipur, rajasthan",india,0.5617074,0.3227187,0.48068362,0.56933796,0.5630244,0.6233548,0.65262175,0.4326867,0.5750023,0.4836119,0.5776736,9,122.69426235000478,64.8,0.3,1,6,1.0,3,0.5866462195100318,0.572161872742083,0.6666666666666667,30,1,0,0.8169402985074627,0.7879650630083228,0.993731343283582,0.0,0.982089552238806,1.0,1.0,0.9861925992695616,0.7965704353730199
CAND_0049538,5.8,5.67,24,181,30,52.9,0.72,0.67,0.59,0,90.8,0,1242,79,5,0,996,60,0,1,1,1,0,15,8,180.25542547822866,0.0,17,3,0.3333333333333333,24,5,60,996,1.0,"jaipur, rajasthan",india,0.56880265,0.38013357,0.5045871,0.583271,0.5481721,0.6599251,0.6906394,0.48224965,0.5353689,0.5091986,0.5934351,7,85.24361779132636,60.6,0.23333333333333334,1,5,1.0,6,0.7659283383646487,0.6853827910309876,0.6666666666666667,30,0,0,0.7565804597701149,0.741509609676831,0.8421551724137931,0.0,0.9775862068965517,0.5,1.0,0.9999999999999999,0.791095975863757
CAND_0071974,7.8,7.67,65,409,45,87.1,0.76,0.85,0.5,1,82.8,0,1898,167,335,14,132,50,1,1,1,1,0,17,7,188.34535283674938,0.0,19,3,0.3333333333333333,65,335,50,132,1.0,"vizag, andhra pradesh",india,0.5542485,0.33997405,0.5150119,0.56186736,0.5435307,0.6606808,0.61359406,0.49098417,0.50054693,0.49277547,0.5746505,8,99.88922122171218,73.2,0.26666666666666666,1,6,1.0,6,0.4856717852477123,0.5882780577347042,0.5,45,0,1,0.7591666666666668,0.866244199878351,0.9941666666666668,0.0,0.9833333333333334,1.0,1.0,0.9935270912242595,0.7870871491204876
CAND_0002025,5.9,5.83,25,401,30,81.8,0.8,0.81,0.46,0,96.9,0,760,39,125,17,949,22,1,1,1,1,0,19,11,232.52063371852873,0.0,20,2,0.5,25,125,22,949,1.0,"trivandrum, kerala",india,0.57868826,0.31582397,0.44279408,0.5881528,0.5863802,0.64449173,0.6604754,0.4527926,0.5966243,0.4813648,0.5967134,9,118.11264814225022,0.0,0.3,1,3,1.0,5,0.7574651283969664,0.7480557454530916,0.6666666666666667,30,0,1,0.8196610169491525,0.8125522206201159,0.9958474576271187,0.0,0.988135593220339,1.0,1.0,0.9832619466032472,0.7849168548885336
